,MID,Date,SSS
0,1243905,2017-08-05 22:00:00,228
1,1243906,2017-08-05 22:00:00,183
2,1243907,2017-08-05 22:00:00,138
3,1204612,2017-08-05 19:35:00,2446
4,1243909,2017-08-05 22:00:00,162
5,1243910,2017-08-05 22:00:00,144
6,1243911,2017-08-05 22:00:00,143
7,1243912,2017-08-05 22:00:00,218
8,1243913,2017-08-06 00:30:00,369
9,1243914,2017-08-06 23:30:00,326
10,1263776,2017-08-07 01:45:00,0
11,1236127,2017-08-07 03:00:00,178
12,1249550,2017-08-05 21:00:00,291
13,1204498,2017-08-05 19:35:00,680
14,1262612,2017-08-06 00:00:00,286
15,1243034,2017-08-06 00:00:00,198
16,1246492,2017-08-07 01:00:00,0
17,1243037,2017-08-06 02:30:00,102
18,1204613,2017-08-05 19:35:00,343
19,1243040,2017-08-07 02:00:00,288
20,1236129,2017-08-07 03:00:00,213
21,1248674,2017-08-07 01:00:00,361
22,1236131,2017-08-06 06:00:00,330
23,1248677,2017-08-06 22:30:00,611
24,1236134,2017-08-07 03:00:00,217
25,1204775,2017-08-05 19:35:00,1499
26,1204776,2017-08-05 19:35:00,623
27,1248937,2017-08-06 06:00:00,222
28,1204615,2017-08-05 19:35:00,696
29,1248941,2017-08-06 08:00:00,365
30,1258411,2017-08-07 01:00:00,0
31,1236125,2017-08-06 22:00:00,315
32,1248944,2017-08-06 10:00:00,414
33,1248945,2017-08-06 10:06:00,647
34,1251122,2017-08-06 03:30:00,90
35,1248947,2017-08-07 01:00:00,217
36,1251127,2017-08-06 08:30:00,162
37,1251128,2017-08-07 06:00:00,199
38,1251258,2017-08-06 23:00:00,1507
39,1243039,2017-08-07 00:00:00,419
40,1184189,2017-08-06 21:00:00,126
41,1236128,2017-08-07 03:00:00,183
42,1250117,2017-08-05 21:30:00,270
43,1204614,2017-08-06 19:35:00,1396
44,1250119,2017-08-06 21:30:00,279
45,1237196,2017-08-07 06:00:00,408
46,1184203,2017-08-06 23:30:00,301
47,1250124,2017-08-06 19:30:00,624
48,1250125,2017-08-06 21:30:00,227
49,1237198,2017-08-07 06:00:00,530
50,1237197,2017-08-07 03:00:00,132
51,1252003,2017-08-07 07:30:00,372
52,1248946,2017-08-06 08:06:00,233
53,1243355,2017-08-06 21:00:00,1204
54,1239520,2017-08-06 02:30:00,780
55,1208033,2017-08-07 06:08:00,388
56,1243674,2017-08-06 03:45:00,234
57,1208036,2017-08-06 08:00:00,203
58,1208038,2017-08-06 07:30:00,490
59,1249126,2017-08-06 21:00:00,1715
60,1249127,2017-08-06 02:00:00,1233
61,1249128,2017-08-07 03:00:00,1583
62,1249129,2017-08-06 02:00:00,1282
63,1249131,2017-08-06 02:00:00,638
64,1249132,2017-08-05 23:15:00,1859
65,1249133,2017-08-06 02:00:00,754
66,1249134,2017-08-06 02:00:00,503
67,1255976,2017-08-07 03:15:00,125
68,1202290,2017-08-07 08:20:00,746
69,1202291,2017-08-06 08:30:00,313
70,1232635,2017-08-06 19:35:00,916
71,1251121,2017-08-06 06:00:00,145
